,TSLA,BND,SPY,TSLA_ret,BND_ret,SPY_ret
count,2534.0,2534.0,2534.0,2534.0,2534.0,2534.0
mean,132.00799787336197,68.4722090301875,334.2565879972318,0.0018281341432977662,7.777515577854935e-05,0.000574779661280678
std,120.91754036018585,4.552961012161968,126.41303375917445,0.03728539506692714,0.0034595474524569156,0.011490572240078564
min,9.57800006866455,60.77914047241211,155.86976623535156,-0.21062824320390794,-0.05438514827947949,-0.10942386989390918
25%,18.972500324249268,64.6579532623291,230.42825317382812,-0.01736819747152535,-0.0015300340170943394,-0.0036606353966908978
50%,94.97766876220703,67.6100959777832,305.2984313964844,0.0012612060260822622,0.0001269973013919845,0.0006448841429318453
75%,236.81083297729495,71.89114379882812,420.39864349365234,0.019718089563221186,0.0017827601872329457,0.005993020124634263
max,479.8599853515625,77.3182373046875,637.0999755859375,0.22689989839624514,0.042201137340496686,0.10501936290804648
