,VaR_95_daily,Sharpe_annual,Annual_return_est,Annual_vol_est
TSLA,-0.05466309946643583,0.7445501975254385,0.46068980411103705,0.5918872972913023
BND,-0.004899802488346529,-0.007295536433067638,0.019599339256194438,0.054918613248168296
SPY,-0.017194921631454644,0.6844274169663541,0.14484447464273084,0.1824071794144215
