horizon,order,mean_ret_annualized,ret_CI_wid_avg,px_end_mean,px_end_lo,px_end_hi
6m,"(2, 0, 2)",-0.002248951215508999,0.14176424894833803,248.19821539028507,0.0235333399959973,1387655.6492137043
12m,"(2, 0, 2)",-0.0011244831196454018,0.14177902188678426,248.19821352583,2.2270823078921024e-06,7771178908.770951
