Date,strategy,benchmark
2024-08-01,1.0,1.0
2024-08-02,0.9813815047517819,0.9935260059132669
2024-08-05,0.9528001429346905,0.9761160233917566
2024-08-06,0.9615844811163473,0.978820612152593
2024-08-07,0.9551573135106287,0.9740029128740106
2024-08-08,0.9772379919496819,0.9865511433875286
2024-08-09,0.9815473135447692,0.9905469381157676
2024-08-12,0.9820630619660579,0.9915687305716813
2024-08-13,0.9982135439723329,1.0027280038089097
2024-08-14,1.0013627730240362,1.0053732783285518
2024-08-15,1.018526316029056,1.0138933751726726
2024-08-16,1.0208099708326746,1.0161331886027387
2024-08-19,1.0305701569208958,1.0224415912867137
2024-08-20,1.0288945435592336,1.0226526047900835
2024-08-21,1.0324303563238932,1.0256381218405213
2024-08-22,1.024327347753502,1.0191626409270451
2024-08-23,1.0352110961019576,1.0274595047886361
2024-08-26,1.03274342426453,1.0255498489168833
2024-08-27,1.0341615048200634,1.0263945624984898
2024-08-28,1.0281576788134608,1.0225433935913588
2024-08-29,1.0282498580326231,1.021993779568553
2024-08-30,1.0380654654538468,1.0270162721376601
2024-09-03,1.0167031021152293,1.016033241270867
2024-09-04,1.0146221277922631,1.0166127584029203
2024-09-05,1.0121544559548357,1.0161351695663894
2024-09-06,0.995119850055138,1.0064842687972555
2024-09-09,1.006261358812733,1.0136722354900305
2024-09-10,1.0106441961801398,1.017661085456628
2024-09-11,1.021012423710317,1.023616716027132
2024-09-12,1.0296126310566593,1.0282985569031668
2024-09-13,1.0349900935789786,1.0323838838798314
2024-09-16,1.0365186753960016,1.034396810863355
2024-09-17,1.0369422445981278,1.0340979028666728
2024-09-18,1.0338668727232596,1.0309980584281082
2024-09-19,1.0515091786603978,1.0415071196925112
2024-09-20,1.0496915410203225,1.0403692656053969
2024-09-23,1.0523145519122645,1.0416560944115223
2024-09-24,1.0553255121352245,1.0439457707349857
2024-09-25,1.0529980437521278,1.0410158461062469
2024-09-26,1.057172738166636,1.04350260262881
2024-09-27,1.0556394904879023,1.0438020778860544
2024-09-30,1.0598697200369185,1.0453847982343842
2024-10-01,1.0503749190586806,1.0409507988786908
2024-10-02,1.0508181759211959,1.0404408145806292
2024-10-03,1.0488970927129493,1.0374719759656663
2024-10-04,1.058428879180357,1.0404408048000542
2024-10-07,1.048860107223779,1.0335244879256318
2024-10-08,1.0587798430222048,1.0400415531411353
2024-10-09,1.0661134396163534,1.0433042411963958
2024-10-10,1.0642476639396043,1.042026963929206
2024-10-11,1.0706206620288772,1.0458785451140127
2024-10-14,1.0793765498342494,1.0508176976502959
2024-10-15,1.0709901755160627,1.0474255910817416
2024-10-16,1.0756451122822563,1.050751331022992
2024-10-17,1.0757374053029236,1.0488157940520415
2024-10-18,1.079875341831272,1.05150184722401
2024-10-21,1.0781019729766954,1.0476810068653604
2024-10-22,1.0775293238028376,1.0475059087317518
2024-10-23,1.067683445181247,1.0406458061119137
2024-10-24,1.0699925915220163,1.0426846636661602
2024-10-25,1.069623078034831,1.041635180751602
2024-10-28,1.0729296945681415,1.0431073699807236
2024-10-29,1.074666191735053,1.0444734356970609
2024-10-30,1.0714149965347453,1.0421497513601063
2024-10-31,1.0504119045478506,1.0295835356692042
2024-11-01,1.054845269783539,1.0306603074230025
2024-11-04,1.05257310893194,1.030915199456445
2024-11-05,1.0653005554651478,1.039494956063172
2024-11-06,1.0917899042132744,1.051946329134223
2024-11-07,1.1002318136659688,1.0599697395008938
2024-11-08,1.1049977068996726,1.0635851609480875
2024-11-11,1.106050598425216,1.063435837738686
2024-11-12,1.1026148171835735,1.0589490613571897
2024-11-13,1.1031504808682613,1.05910173624666
2024-11-14,1.0960570054499557,1.054765415237465
