model,ret_MAE,ret_RMSE,ret_MAPE,px_MAE,px_RMSE,px_MAPE
ARIMA,0.030345660286897544,0.04203813187383956,102.0894790201887,62.96334637518008,78.01154903645346,24.05932470816932
LSTM,0.030352615276703406,0.04203591095960789,103.49707314287495,57.692547229602006,67.54530641571837,24.614229606495527
