Date,strategy,benchmark
2024-08-01,0.0,0.0
2024-08-02,-0.018618495248218125,-0.006473994086733104
2024-08-05,-0.029123599414399348,-0.017523429097869192
2024-08-06,0.009219497128327925,0.0027707656631212885
2024-08-07,-0.006683934414433379,-0.00492194301873905
2024-08-08,0.023117321227324128,0.012883155016951253
2024-08-09,0.004409695110696443,0.004050266177299866
2024-08-12,0.0005254442798341419,0.0010315437023684648
2024-08-13,0.016445463261740345,0.011254160093163268
2024-08-14,0.0031548650794410715,0.0026380778332648624
2024-08-15,0.017140184823515314,0.00847456067092378
2024-08-16,0.0022421166421322525,0.0022091212793304837
2024-08-19,0.009561217432329627,0.006208243914018308
2024-08-20,-0.001625909066364395,0.0002063819636914932
2024-08-21,0.0034365161976934733,0.0029193853674782666
2024-08-22,-0.00784847958097934,-0.0063136117657714985
2024-08-23,0.010625263859571188,0.008140863419055622
2024-08-26,-0.0023837378161030154,-0.0018586191113640904
2024-08-27,0.0013731199078255152,0.0008236689640184203
2024-08-28,-0.005805501344441577,-0.0037521329982070917
2024-08-29,8.965474952127295e-05,-0.0005374970160195724
2024-08-30,0.009545936082115514,0.004914406202381594
2024-09-03,-0.02057901360708292,-0.010694115726066156
2024-09-04,-0.002046786636764275,0.0005703722166889857
2024-09-05,-0.002432109225527168,-0.00046978442143619237
2024-09-06,-0.016830045848711617,-0.009497654503241026
2024-09-09,0.011196147636867604,0.007141658260952921
2024-09-10,0.004355565608300971,0.003935049049330175
2024-09-11,0.010259028419067118,0.005852273075600323
2024-09-12,0.008423215179977461,0.0045738222156102015
2024-09-13,0.005222801624724216,0.003972899649852701
2024-09-16,0.001476904780544519,0.0019497853608085869
2024-09-17,0.0004086459917997942,-0.0002889684051062824
2024-09-18,-0.0029658082606713876,-0.0029976314911493995
2024-09-19,0.01706438846489733,0.010193095106721506
2024-09-20,-0.0017285989290088954,-0.0010925072576077888
2024-09-23,0.002498839696652544,0.0012368962143229911
2024-09-24,0.002861273957951438,0.002198111579961415
2024-09-25,-0.0022054506939641616,-0.0028065869998937787
2024-09-26,0.003964579458887396,0.0023887787413268136
2024-09-27,-0.0014503284310876108,0.00028699042675128794
2024-09-30,0.004007267241452839,0.0015163031209279865
2024-10-01,-0.008958460458618478,-0.00424149974553123
2024-10-02,0.0004219987115767765,-0.0004899216164788722
2024-10-03,-0.001828178511056322,-0.0028534430535192
2024-10-04,0.009087437207737858,0.0028615990630729282
2024-10-07,-0.009040543152968317,-0.006647487144404662
2024-10-08,0.00945763475043604,0.006305670829903409
2024-10-09,0.006926460342515872,0.0031370747114924935
2024-10-10,-0.001750072372617817,-0.0012242615497519704
2024-10-11,0.005988265988464914,0.003696239462253059
2024-10-14,0.008178328810485747,0.004722491497083592
2024-10-15,-0.007769646579291134,-0.003228063798448755
2024-10-16,0.004346386057136886,0.00317515627798981
2024-10-17,8.58024822625314e-05,-0.0018420504583763764
2024-10-18,0.003846604671316811,0.0025610342513924245
2024-10-21,-0.0016421977480931549,-0.0036336981896293308
2024-10-22,-0.0005311642017282736,-0.00016712924302464405
2024-10-23,-0.009137457704485041,-0.006548987039265208
2024-10-24,0.0021627630841249967,0.0019592233421514837
2024-10-25,-0.00034534209873327004,-0.0010065199490593146
2024-10-28,0.0030913848076141726,0.0014133443803803214
2024-10-29,0.0016184631441396036,0.0013096117961111098
2024-10-30,-0.0030253070444681285,-0.0022247423989329995
2024-10-31,-0.01960313422420301,-0.01205797504101691
2024-11-01,0.004220596907264618,0.0010458323355941879
2024-11-04,-0.0021540228853332843,0.0002473094496864281
2024-11-05,0.012091745860886238,0.008322465913055632
2024-11-06,0.02486561056617531,0.011978290994510754
2024-11-07,0.007732173946760845,0.007627205062138653
2024-11-08,0.0043317173476595805,0.003410872322540115
2024-11-11,0.0009528449868891897,-0.0001403961007394594
2024-11-12,-0.003106350872676522,-0.004219132196106257
2024-11-13,0.0004858121588244835,0.00014417585797232846
2024-11-14,-0.006430197458394349,-0.004094338495338912
2024-11-15,-0.012808648464564087,-0.007823302042559876
2024-11-18,0.00409731192063556,0.00289445965637114
2024-11-19,0.0036556376741430086,0.0029410885303697842
2024-11-20,0.000338767316948152,-0.00021246741811853376
2024-11-21,0.005368363462911585,0.0031035109521888593
2024-11-22,0.0030993618014838464,0.0020755828422092115
2024-11-25,0.003392174122915037,0.00561380391980304
2024-11-26,0.005221381610793552,0.0025493035830792543
2024-11-27,-0.0030300108720178187,-0.0008375843359900159
2024-11-29,0.0062120779098662204,0.00524652214014254
2024-12-02,0.0017924183087796308,0.001332678619776484
2024-12-03,0.0004636579149661646,-0.000594626948336674
2024-12-04,0.006209606216237118,0.005146621723599587
2024-12-05,-0.0016456489556636589,-0.000969611489888611
2024-12-06,0.0018956361272277622,0.0022090568026591484
2024-12-09,-0.005149695099979867,-0.0043267312716085415
2024-12-10,-0.0031089490254617713,-0.002340019098586832
2024-12-11,0.007730539283834936,0.003954040918476176
2024-12-12,-0.005152560662208261,-0.004700500891075987
2024-12-13,-0.00019858231797775794,-0.0016298161851586723
2024-12-16,0.004269960008507656,0.0030716683363403163
2024-12-17,-0.00411991962202185,-0.0025132890309587097
2024-12-18,-0.02980348938742794,-0.02149036832145379
2024-12-19,-0.00030725433366274313,-0.0012523474823543657
2024-12-20,0.012011093146227614,0.00858047975927101
2024-12-23,0.005988331193196972,0.002493294147338343
2024-12-24,0.011114912881524663,0.0074480859776342445
2024-12-26,6.667892006695375e-05,0.00030359991391937236
2024-12-27,-0.01052660275787265,-0.0073468766273055985
